word,region,state
caramel,east,florida
caramel,east,south carolina
caramel,east,maine
caramel,west,wisconsin
caramel,west,michigan
caramel,west,washington
mayonnaise,west,montana
mayonnaise,west,wisconsin
mayonnaise,west,utah
mayonnaise,east,south carolina
mayonnaise,east,georgia
mayonnaise,east,mississippi
pecan,west,wisconsin
pecan,west,montana
pecan,west,california
pecan,east,new york
pecan,east,maine
pecan,east,vermont
syrup,west,montana
syrup,west,wisconsin
syrup,west,california
syrup,east,pennsylvania
syrup,east,new jersey
syrup,east,connecticut
pajamas,west,wisconsin
pajamas,west,minnesota
pajamas,west,washington
pajamas,east,florida
pajamas,east,maine
pajamas,east,north carolina
